x,y,author
-176.895406209,-44.7882607851,ThomasHenryHuxley
-210.550066001,22.1457730457,FHopkinsonSmi
-225.625786008,23.7740304571,Unknown
-177.3796226,18.290034929,natoleFrance
-191.121870657,-0.719283733336,JacquesCasanova
-214.401103912,47.1398099188,RobertWChambers
-224.529856015,-25.2481387392,JeanJacquesRoussea
-238.391356318,32.6935852937,GordonStables
-213.383605915,-33.0614224138,ThomasBaileyAldric
-207.066812447,18.8950728721,MayneReid
-218.965163012,1.89828956528,lbertBigelowPaine
-239.763048202,42.6384902197,GeorgeBarrMcCutcheon
-261.713598638,32.6560824167,LouisaMayAlc
-243.187856816,15.5717498463,LFrankBaum
-213.757534038,5.36511426105,JacobAbb
-219.77070703,-10.3266770944,GeorgEbers
-159.058979868,-48.2550783644,nonymous
-243.513263397,-7.43490212082,SamuelJohnson
-221.981528592,25.953014751,RMBallantyne
-147.775443918,21.6057423834,FrederichSchille
-256.841287096,22.9440338496,LucyMaudMontgomery
-201.679896427,13.9739811582,BretHarte
-254.744686631,26.5749528817,CharlesPauldeKock
-202.475614056,-30.1201481962,GordonRandallGarre
-206.465840212,1.03353320194,EmileZola
-221.105356023,17.4456061303,DucdeSaintSimon
-210.159185444,12.6017426711,SirWalterSc
-217.994864881,-18.779807836,EdithWharton
-227.452259747,-1.88852237665,JamesOtis
-254.212683201,24.391530406,FMarionCrawford
-227.050390485,19.642722996,JohnGreenleafWhittie
-244.22193844,23.8225822628,LTMeade
-249.743144779,14.2050826166,HoratioAlge
-233.917351674,52.5661864639,JohnGalsworthy
-226.748467183,18.3161188944,WinstonChurchill
-255.61263086,28.0655283581,HoratioAlgerJ
-190.803098885,8.01273859588,SamuelPepysTranslatorMynorsBrightEditorWheatley
-227.539867352,24.3549445502,ConanDoyle
-180.739835986,-103.543133406,DanielDefoe
-197.906571297,-1.03028007583,Constan
-221.448515494,23.3049072652,WinstonChurchillUSAauthornotSirWinstonChurchill
-237.267251639,38.5450244627,GeorgeManvilleFenn
-187.154804345,0.476687558684,Various
