positive,negative,anger_emolex,anticipation,disgust,fear,joy,sadness,surprise,trust,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,epoch,author
48.8705871021,20.0259252401,24.7976378925,41.2366969088,12.8995069348,21.9953695924,24.9779550607,19.7746697747,25.8304432782,46.6479025327,32.3993591422,40.1372790534,18.0698338525,16.3676053263,21.5032253388,17.6382254327,51.5752061061,5.45946991681,24.1391622593,3.26373133911,27.1003106276,69.5658103822,40.870576685,57.8353699476,51.9310157956,53.2039120523,46.3597120364,60.347271225,13.9909031839,12.9421756996,7.37301587301,20.7959463739,17.204030886,9.40874866268,6.79860429615,4.66698523221,13.144529907,61.2278781244,47.6851851852,31.4380963205,37.5900799035,51.8899513829,36.3522554694,37.8456705244,41.8619154411,40.4321159227,49.1709725437,37.0745695776,38.4359837273,50.2355117104,26.2130765928,24.8710140488,14.2264204952,43.3284603028,4.78998773755,14.0718889981,19.8524926524,1.49430080623,6.91272365167,21.0482494484,14.9843884582,0.0,enlightment,DefoeDaniel
35.0347911391,35.8929657945,33.6240780034,41.2699979223,23.575609237,42.643043186,32.0939460672,32.1133674018,48.5958935641,30.0699008245,35.4551329161,29.4370400783,35.7679127726,38.4361493124,40.8343118069,38.9729698241,59.6687012039,17.7620429483,20.3494677646,19.37746828,45.5847175108,35.775056453,37.9235497503,24.2688330872,27.6323339549,13.3486432826,34.5848233226,24.8041849862,45.6362573099,44.3743543833,17.8698412698,51.6557584714,62.3505300353,48.837279719,19.685966634,9.66106901495,25.7536910972,46.411227422,33.7761239902,22.5432273148,33.3870420624,39.2346421327,34.1300332471,66.6345823307,25.0735357891,20.8774806826,61.4083871081,56.2100638978,47.1837367717,59.1758647939,10.5792765611,22.4820260555,18.7426649492,19.6488710813,5.08781723709,28.8413634874,16.7492929629,5.52231025854,4.52876553918,13.2240539528,15.796996124,0.749665327978,unidentified,JackLondon
45.1835375174,24.8226237401,21.3781954127,50.0773945564,18.256890497,26.5774659721,42.8952507583,27.5892056661,47.2995120155,41.9185884415,50.3122069892,48.3832864858,34.5759345794,36.3654223969,25.4794520548,50.1234999418,77.9182190934,24.6233313987,25.8144205664,32.3932862785,45.7243537256,66.6871634532,60.8869573569,37.4775077212,60.949648544,42.3782925215,44.6154312383,47.2672746024,45.2081871345,40.9000757524,24.4646825397,42.2696083606,27.920376914,18.1566038879,10.0953315576,7.16977268073,15.4416055168,44.86863711,34.6404109589,22.3481564463,25.9419945726,50.517965807,42.3402290358,65.1690156984,44.1588918212,35.3860692645,55.9348916322,49.3575279553,41.5719498844,57.2668179153,12.77696793,21.2081734148,30.5653356233,18.7860739618,8.32223987632,12.2058341527,14.5882548661,2.22268557131,0.945359930616,12.0756837767,17.9990310077,0.361445783133,romantic,HowellsWilliamDean
44.6736477083,28.0011992628,32.9938365161,42.8107902209,22.1159235217,32.1206519913,36.6485228736,32.3032096109,42.5890801952,42.1993866252,42.1541944367,41.5448104517,31.0882658359,34.4715127701,35.299847793,32.3266922987,68.3696866438,25.9601470304,23.1987681596,21.9111839341,37.4053495535,63.4852257156,56.6554616468,45.7996508661,44.711582907,31.00445621,55.5617512172,47.4725433788,43.3678362573,39.3274108762,23.1476190476,43.5821105598,35.5740871614,23.4126647692,15.0446282537,5.00238924158,17.624141691,52.9835796388,42.9282285447,29.3419706785,33.6687019448,43.1102096011,26.7134589336,48.8203277186,53.3966059134,44.419737988,50.2007785649,49.8452476038,36.7282163565,48.9856993551,19.4614324135,19.6414220588,24.5742092458,22.2960997708,11.6602968752,21.211624604,18.7755781068,3.69613566861,0.876939385179,19.9400524541,17.3708010336,0.348058902275,unidentified,LeoGrafTolstoy
47.4640111332,36.2524800931,31.707588158,40.9199044255,21.6883047781,40.1306503109,35.8220800266,32.8711672943,43.2032041249,43.8180587087,41.4140543828,38.1239933045,32.6818535826,41.8526522593,35.6555772994,30.2353489456,49.2049390575,12.8810214742,16.1819642498,14.997269137,25.9442624868,60.587690348,68.8484441029,35.5277292869,39.1378568355,38.8201191264,59.4672404388,31.3882103892,52.7906432749,61.156945114,21.4595238095,45.9020373693,39.7903415783,26.2157088355,18.8314874527,10.5508908458,13.0094598179,50.2692939245,46.5384615385,25.2540061371,29.2978290366,33.7177629673,42.6025120059,53.4599518735,37.2438018065,34.5010839958,60.7330609525,48.6930910543,48.742610388,55.3901450458,14.6945555631,20.5854370506,26.7425218263,14.0018409226,8.01820758363,18.343166175,13.8878722342,3.71351125939,1.60740098294,22.780067441,7.11240310078,0.0,unidentified,HerbertGeorgeWells
41.5351701027,27.2003386154,27.6772983957,37.6532308332,20.0619583082,32.3890475924,34.6763433563,30.5450959297,37.2525550133,35.3040099485,35.0641561711,33.8783087165,29.954569055,31.8074656189,29.3223164456,37.4422307662,51.1482237325,16.6995550397,26.0293231572,8.47010988806,36.6582836199,33.7053120517,29.8859222265,16.297390448,28.2875616974,23.8279285242,33.8397613323,24.5797825182,49.9662118259,45.2096197844,30.1781305115,38.3733886953,38.2745713912,30.4144209613,12.950760939,14.5629963365,14.39503335,36.0495347564,28.6983374312,15.7793905151,30.9675109302,28.0208635178,25.1015884743,45.4507403588,30.7810914658,26.5334988666,53.8564876513,43.5591941782,44.4252524024,47.0289836601,10.8242743387,21.0539909064,40.096687499,16.666967471,9.98172561705,23.3584617065,22.0373759219,11.8246687054,6.15784908933,12.4640939178,11.7974806201,1.48743120631,unidentified,RobertLouisStevenson
44.0206135915,38.0519033888,36.7400895894,48.291663781,25.920210942,42.7901939917,38.8715761093,39.8148148148,50.9294212728,39.1440191536,48.1482420055,41.496032874,40.4361370717,48.3977297533,38.0546495615,44.6101466724,71.2432312112,30.8015734829,34.3911093258,28.3295521385,44.3866079204,47.1795366671,54.0524821787,29.3802127628,39.8587800252,22.8084417972,44.0935814292,26.4877236787,54.8151397011,57.1180435997,23.909611993,52.4097728046,47.7005627536,35.999246385,14.8254591336,6.97430996427,21.9442234206,49.4271118409,36.6999375561,18.2012025176,37.8757726519,38.8413986284,38.40454788,64.5286658264,30.4981820835,33.6897239671,64.2909331089,57.4430910543,48.8806444201,61.4406575634,7.85495815158,18.7565694242,36.1910214208,16.69524308,8.09846218443,29.1962562366,11.2589881514,2.75692706885,1.16282804921,9.33766287831,13.3963178295,0.0,unidentified,HenriReneGuyDeMaupassan
61.2930244988,25.3791471881,21.0352343423,71.9828737645,17.0160689582,29.2783925871,56.4899180265,27.6928200005,63.3051415944,59.9440110613,72.2076408171,71.3428472169,40.5056742323,50.7493685097,20.441710931,62.031257802,78.7570511157,49.7438023381,39.698160847,60.4009867118,29.5475243554,86.8756048537,73.3549201471,40.3757984999,80.3205115069,41.4495603668,79.3485319457,56.6275850839,36.8792815372,30.6344505986,23.3197278912,32.3204294914,18.0831230019,10.8650327448,8.79714005327,2.82905707849,10.5144170656,43.4344944874,43.1839279442,23.1113925284,16.2168055825,48.2365359937,51.0211620666,60.5745306029,56.6428243974,59.6142086831,46.5326556378,37.0007987221,29.9150259788,59.9975236978,7.52811328613,14.8911524175,32.7506184956,15.073907629,4.76476758952,7.36994896286,18.1880837512,0.253187179793,0.223020691364,13.9431568806,24.2075027686,0.0,enlightment,AustenJane
62.2738575959,42.3105208857,43.9153278771,51.3785580719,27.6162605087,50.4772307175,33.1341671168,33.8259817106,41.1407789338,65.6522085474,45.2869922202,42.9596058491,33.2250778816,28.347740668,49.7977821265,29.4092974485,50.3195034731,18.4376088218,19.1845752159,9.65528106881,38.1743478769,50.8099125702,42.2402036112,43.4470256479,41.3876536126,27.8946393117,36.0767319231,36.7442870325,14.097368421,10.5936230287,9.1130952381,20.1625672965,19.0383981154,15.7282141343,7.10640684143,3.27667417571,7.76058703917,55.9663382594,25.1690375834,25.7776045979,56.1916553596,44.1661837148,44.4606575545,61.1583304687,13.702065445,25.9241758853,48.2024619485,27.0257587859,36.1569152171,56.6091411966,14.614211133,18.3647764744,14.326606555,20.7255400942,14.4136213338,33.0022943297,8.01197804027,1.98915763136,1.19398670136,6.17834394904,11.3032945736,0.0,unidentified,JohnLothropMotley
54.184917756,44.3880452898,44.8664999495,45.3329524205,31.2759391295,49.0868131407,33.4005069182,40.4288820154,48.9733910321,50.4610268053,41.5353133474,38.8860815463,33.1006619938,30.4223968566,42.5016307893,28.249155307,56.3741551366,11.9921648288,23.8250652742,6.9290395765,39.9257223067,52.2562387818,45.674462159,31.2508392641,39.3606847416,35.1422898742,42.4768167768,41.2534603485,44.8538011696,44.1016458922,22.0317460318,39.6508497836,42.9034157833,36.6733785502,15.2337726062,7.28804013926,12.4359031032,44.9499692118,31.1583465051,27.2283376358,33.9166383989,36.5401332947,29.6292020687,46.3462888163,35.2960946115,32.6928956584,47.5509837273,44.5356180112,38.7568422333,41.7905121212,21.4186131263,16.9333477485,17.0119507657,25.2375602361,11.4092626787,42.8609472304,18.0897521211,10.4879065888,3.02471812663,16.2654552267,8.70881782944,0.0,romantic,BierceAmbrose
