filename,positive,negative,anger_emolex,anticipation,disgust,fear,joy,sadness,surprise,trust,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,class,epoch
hePropheticPicturesFromTwiceToldTales,3.0093,1.7021,0.463,1.457,0.4221,0.6127,0.9532,0.8034,0.64,1.4297,2.3148,1.4706,0.8306,0.1362,0.0272,0.3404,7.4346,0.0408,0.1225,0.5583,2.0289,8.8644,1.4161,0.9532,1.2663,2.8867,0.8306,3.6765,2.0969,1.5114,0.354,0.1906,0.7489,0.3676,0.1634,0.0545,0.1634,2.9412,0.8851,0.5174,1.0757,0.5583,0.1634,3.6084,4.0033,0.8306,8.1972,0.8987,4.4254,3.0229,1.4434,0.8987,0.0953,0.6127,0.0953,0.0545,0.0545,0.0,0.0,0.0272,0.0272,0.0,HawthorneNathaniel,enlightment
DrBullivantFromTheDoliverRomanceandOtherPiecesTalesandSketches,3.7519,2.0865,0.8231,1.5123,0.7083,0.9571,1.0528,0.9571,0.6891,1.876,2.2779,1.474,0.804,0.134,0.1723,0.1723,5.8767,0.0191,0.1531,0.0191,1.2251,8.2695,0.804,1.1868,1.0337,3.1394,0.8614,3.6945,1.1485,0.67,0.1914,0.1531,0.7466,0.3254,0.2106,0.0383,0.1531,3.9625,1.2251,0.67,1.5123,0.5743,0.1531,1.9908,4.2688,0.7848,8.5567,0.938,4.4602,3.2734,1.8568,0.8614,0.1914,0.9188,0.2297,0.0,0.0574,0.0,0.0,0.0383,0.0191,0.0,HawthorneNathaniel,enlightment
anglewoodTales,3.6191,2.2725,0.8475,1.7735,0.6479,1.1011,1.6999,1.0275,0.9326,1.7572,3.6191,2.2169,1.3825,0.1603,0.3354,0.4417,9.5123,0.2945,0.2765,1.2958,3.3851,7.5833,1.16,0.818,1.2974,1.9699,1.1616,2.5703,2.2496,1.0651,0.6561,0.3943,1.1338,0.5955,0.234,0.0131,0.3256,4.298,0.7624,0.5366,2.1286,0.9309,0.2961,5.3566,3.6714,0.8524,10.2387,1.5592,5.8605,2.945,0.391,0.3828,0.1243,0.306,0.0769,0.1276,0.0851,0.0098,0.0049,0.0115,0.0589,0.0,HawthorneNathaniel,enlightment
heSisterYearsFromTwiceToldTales,3.5657,1.5713,0.6849,1.5512,0.4029,0.4835,1.1886,0.7655,0.6044,1.9742,2.5584,1.7325,0.8058,0.1007,0.0806,0.2619,6.7284,0.141,0.1813,1.39,0.1813,8.8437,0.8058,1.0677,1.4907,3.2836,0.9468,3.8276,1.1483,0.5439,0.3223,0.2417,0.4633,0.2216,0.2015,0.0201,0.0201,3.9484,1.2893,0.6044,1.3094,0.7051,0.2619,2.3771,5.2579,1.4706,9.4279,1.0878,4.2909,4.2305,1.9138,0.9468,0.0201,0.9267,0.1612,0.1209,0.1007,0.0,0.0,0.0403,0.0604,0.0,HawthorneNathaniel,enlightment
heHauntedMindFromTwiceToldTales,3.1159,2.3612,0.6573,1.3389,0.5842,0.9494,0.9981,1.3632,0.6816,1.3145,2.2882,1.3389,0.9494,0.1217,0.073,0.2434,6.11,0.0243,0.1704,0.1704,0.1704,9.0312,1.1928,1.0467,1.1928,3.4567,0.8763,3.9922,1.3632,0.9494,0.073,0.3408,0.6816,0.3165,0.2678,0.0243,0.0974,3.5297,1.1441,0.5842,1.2415,0.5842,0.1461,1.0954,5.185,1.0711,9.0068,1.0711,4.6981,3.5054,1.9231,1.0467,0.1217,0.8763,0.1461,0.0974,0.1461,0.0487,0.0243,0.0487,0.0243,0.0,HawthorneNathaniel,enlightment
heThreefoldDestinyFromTwiceToldTales,3.6771,1.5067,0.5022,1.8655,0.2152,0.3408,1.3094,0.7354,0.843,1.7578,1.9552,1.3453,0.574,0.0179,0.0179,0.1973,7.3363,0.1794,0.2332,0.6457,2.4753,8.4126,1.2197,0.8969,1.2377,3.2108,0.7354,3.6233,1.2556,0.6996,0.1794,0.3767,0.5919,0.3408,0.1614,0.0,0.0897,3.3901,1.0762,0.7175,1.0942,0.5919,0.1435,3.4439,3.8027,1.0045,8.8969,1.0583,4.6816,3.3184,1.6143,0.7892,0.1256,0.7534,0.1256,0.0,0.0717,0.0,0.0,0.0359,0.0359,0.0,HawthorneNathaniel,enlightment
BudsandBirdVoicesFromMossesfromanOldMans,3.7181,1.8059,0.6374,1.6112,0.4072,0.5666,1.5758,0.9738,0.903,1.8591,2.3725,1.6643,0.7082,0.0885,0.0708,0.301,5.2585,0.0,0.2125,0.1062,0.3718,8.3746,0.9561,0.9915,1.0977,2.9745,0.9915,3.8067,1.4695,0.8499,0.2656,0.2833,0.6728,0.2833,0.2656,0.0354,0.1062,3.6827,1.3987,0.6728,1.2217,0.5489,0.1062,1.5227,5.0814,1.0446,9.7557,0.8676,4.8159,4.1962,1.5935,0.7082,0.0708,0.7436,0.3541,0.1771,0.0885,0.0,0.0177,0.0354,0.0354,0.0,HawthorneNathaniel,enlightment
ASelectParty,4.4616,1.668,0.7187,1.7494,0.3797,0.6509,1.6816,0.6781,0.8272,2.1291,2.9292,2.0749,0.8272,0.0949,0.1221,0.2848,7.0382,0.0271,0.2848,0.0814,2.1155,8.2045,1.2069,1.1663,1.0306,2.4817,1.1391,3.0648,1.0035,0.5153,0.2034,0.2577,0.5018,0.1899,0.1627,0.0136,0.1356,4.1497,1.0985,0.8408,1.4782,0.895,0.2441,3.1733,3.9327,0.8815,8.9232,0.9086,4.9091,3.3225,1.4239,0.7052,0.1221,0.6509,0.1221,0.0814,0.0949,0.0,0.0,0.0271,0.0678,0.0,HawthorneNathaniel,enlightment
heGreatStoneFaceandOtherTalesoftheWhiteMountains,4.3245,2.4584,1.0529,2.3315,0.5312,1.0247,2.1247,1.0905,0.9683,2.2563,4.0284,2.9896,0.9824,0.1739,0.0893,0.4325,7.7653,0.235,0.2256,0.4842,2.7545,7.5303,1.3914,0.7662,1.2598,2.0071,1.067,2.5665,2.4349,1.3256,0.5547,0.5547,1.0247,0.6722,0.2303,0.047,0.1269,4.4608,1.1375,0.5547,1.5277,1.382,0.188,5.5796,3.1682,0.8038,10.7455,1.3068,6.1531,3.4267,0.7427,0.4795,0.2773,0.3901,0.2914,0.1551,0.0705,0.0141,0.0,0.0141,0.0423,0.0,HawthorneNathaniel,enlightment
ABellsBiography,3.3347,1.7785,0.7882,1.536,0.384,0.8892,1.0307,0.9499,0.6871,1.8189,1.92,1.2328,0.6669,0.0606,0.0808,0.1819,6.831,0.1011,0.2021,0.3032,1.1318,7.8213,0.9499,1.1116,1.0914,3.0517,0.7074,3.3953,1.1924,0.3234,0.5457,0.2021,0.4244,0.2223,0.1213,0.0404,0.0404,4.2643,1.4956,0.5659,1.5158,0.7074,0.2021,2.5263,4.3452,0.9701,8.0437,1.1116,4.2643,2.9709,1.7583,0.8084,0.0808,0.7478,0.485,0.2829,0.1011,0.0202,0.0202,0.0404,0.0202,0.0,HawthorneNathaniel,enlightment
