x,y,positive,negative,anger_emolex,anticipation,disgust,fear,joy,sadness,surprise,trust,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,epoch,author
102.121395714,-22.4559167728,49.5161738992,12.9102516825,38.0367071289,9.91934935154,23.2992125011,42.3519580659,35.0036319421,40.4761421457,46.5320054703,41.4965949352,46.6276424978,43.7344379831,40.023725046,22.1207038606,20.6743161221,22.4053090754,35.8221210341,7.21923481055,18.6103891212,6.43621145235,30.4337486161,37.1690695796,30.548649669,32.9174565387,24.655795021,27.5169498892,30.3383507932,19.5089876489,28.3199623521,16.3408358582,9.77981930501,14.2173323158,15.8233973864,12.2085382241,18.0422000042,21.5066163452,3.03169799075,21.4038692169,21.7250596448,28.6119711042,9.01487071309,27.5137941368,18.1152990725,33.0109930953,27.9404385114,23.4766520968,44.371162982,18.818583108,29.8060644957,26.9752998573,16.2876393483,25.6667488545,6.66753263111,7.92223136765,11.7092987186,10.4351655136,3.94974633658,1.95321847332,1.38387792149,2.0625798212,4.21519915289,0.0,romantic,JohnAddingtonSymonds
142.916851967,1.14735505027,45.1674791148,13.7372852709,41.4461619072,10.5306766577,26.1067635896,42.2326255682,34.823219164,41.5347244777,55.8171210517,46.0473296742,65.0000567212,59.4580565626,59.1195371835,36.5583804143,23.5435547795,40.1970954357,52.8138954172,10.8315563385,23.771047576,21.4045927543,34.4039154086,57.2182768638,40.3213999613,33.3627239195,53.9990302288,43.0204847379,50.6864743109,31.2504594912,25.7284943827,10.6894948621,19.8334589997,7.71517001611,13.0881180223,10.3523383393,15.9199940563,9.10446370329,3.33400355571,24.3817752301,23.7701025007,24.2816794308,9.77875821561,45.5061082025,22.5889646034,46.0640963745,42.3558272194,47.7326495579,42.6408022882,24.525746837,24.6520556793,30.6785879794,11.8240842827,20.208962584,6.84741706422,11.7033516537,6.73681866266,5.3131412177,7.64855096131,3.89895908112,0.543453596551,6.11053059328,9.66169802611,0.307881773399,renaissance,HenryFielding
194.711837804,25.033404413,35.7172945478,10.4730076782,26.0719587809,9.45262035042,16.3494418277,23.9598131196,28.0908617178,35.9211594674,43.3933298041,35.8278881338,54.2797828713,46.1468648872,55.7414611209,44.1278248587,13.5436933566,48.5963932334,56.3621034078,14.5415353236,14.5858289072,59.1851394756,20.9399618691,54.2326073279,38.2704897655,33.5921174448,56.8181296176,45.0686687818,42.8696056348,26.7967578297,64.0462531373,29.9610445823,41.6087939998,30.9692190282,20.5303673406,22.298321003,22.205947908,2.59854626782,4.99788350829,23.374615773,13.3350269506,27.4319700179,10.9549286964,46.7766671955,22.9322827939,72.932501092,40.5483054767,35.6874540183,55.0049808126,36.8173552178,33.7255240763,34.3080931373,14.3579566336,24.0645996425,16.362004629,10.0464647001,1.48941754754,2.51130358991,3.7344045986,1.72469490309,0.0258679373724,3.29014280738,5.46713366457,1.18226600985,romantic,myWalton
184.327817723,34.3515307649,33.9313590029,10.242058117,23.887399824,10.0447906267,16.7845394971,24.2097174296,30.6054289639,33.3874634622,41.3151036364,33.6178240648,51.8316794747,46.2062524449,49.4848886419,37.1849196002,11.6328005577,41.52139753,55.6274066709,26.2655293899,15.1377382929,42.3179769551,18.1418626938,52.1979934364,35.8891488336,34.2476066454,59.1821530688,42.0791864053,37.4389777694,28.8778799498,64.2658659018,26.0673895431,51.8479060525,23.4444161791,19.2242392582,22.0876540728,14.3985225753,2.77951011806,5.63377530021,22.0429449451,18.462693973,23.9681127085,8.64191274444,44.30613017,18.9883370463,70.6672962415,49.8990910873,41.8661011815,48.1843109629,36.0870594481,29.5678224409,28.0276740851,14.3717524666,27.2997975334,12.4324638566,10.3735761888,3.05386946443,3.98967486727,4.35289447635,2.09840410845,0.304498088705,2.6975323527,6.86649833021,0.0,romantic,SophieMay
100.797305627,-53.4008299453,37.5739151168,14.153617195,49.3258230722,8.47651594467,21.8655194155,60.8143730771,14.7311573263,30.0824131211,26.8270248809,44.1102543998,41.0080487348,28.3770894669,53.6421151626,16.8838276836,58.3162883512,17.0938397702,31.3470622797,1.81346189505,14.4886427845,0.651097292764,20.9611856542,43.2862344547,23.5706195962,53.5608164705,43.6060176856,28.4775522622,29.337838321,22.7784516983,13.9279311581,7.48953974896,5.37878487242,9.84991096412,6.87972680969,6.43600761973,7.50811946762,1.7752306402,1.95860142228,34.4273179834,24.3386056375,36.5952419749,18.1564219787,46.7687344651,27.9358319137,60.3061130653,23.742189413,29.2231791232,63.8197738258,38.8990954024,41.6197769783,36.1652563246,19.988092613,14.0387104728,3.76741769402,8.72368106629,0.883103867905,6.77779593615,2.27578548566,1.14860014357,0.0122532334922,1.37861372344,4.33330618229,0.0,romantic,UlyssesSGran
120.684993455,4.50331357634,45.7123933662,12.1194141896,34.6656769423,10.4403136914,19.3561547306,35.0998341373,31.0306820156,38.4705532099,39.8356714311,42.6330080734,54.2617455375,51.7125315296,45.8943558614,33.6022834275,15.9136387572,26.4831365039,37.7676067372,5.23842635515,18.9927298753,17.7308375922,19.5340359965,60.5705635355,47.0025689898,46.1361665858,49.6718090061,38.6552363568,47.0616277546,34.6489854433,25.2158778535,12.0915692781,12.4497003849,11.3041634868,12.8019370273,9.81186963777,16.5393024687,5.31730500419,3.41721695451,23.6936280618,19.0618096669,36.0362011841,8.56454585987,44.0821830874,26.1002271437,55.0280095945,32.5151677293,32.4431269024,42.3003618636,23.7669806335,23.4751440426,32.4870186501,20.9345093715,17.2312971296,5.46911655882,11.1536521254,3.72187358324,3.9163988306,3.9861083894,1.31610433118,0.0500340367597,3.42737722048,6.07233037387,0.0,renaissance,JeanJacquesRoussea
151.6383266,-3.6508866072,37.8123951324,11.7196657404,34.5897738189,10.0349094724,19.8670400178,37.356136286,31.8570672857,38.7475303129,50.5109074466,35.684661236,52.0746479033,45.8116377528,51.0799170692,28.0558498117,21.5206757019,34.1582216193,40.5141989816,7.51301841894,22.8297924436,10.6630696772,25.8298160206,45.3471729517,25.8513807169,25.9000867022,41.7650793043,38.5551124922,43.9799420788,26.3382682694,49.8627420222,25.0525016432,27.5806248925,25.1053591113,21.0288367546,23.9482272331,17.7142371946,7.36126642438,5.7912504233,24.7228932216,25.4495449324,21.4172233991,10.3476949729,41.4619581505,18.4589721749,56.0124357236,37.7365470479,36.3964383087,55.9862433353,33.1637212845,33.9840190397,36.7365360686,10.9056106824,29.525724794,12.1132681498,9.61266140952,3.04508975797,7.50621924425,5.47444858145,6.49078726968,0.282646925346,3.70225240915,6.60007873802,0.266830870279,romantic,GordonStables
129.384851042,-5.16145314273,43.82414994,11.9314814438,33.6802661141,9.89764503978,19.0958653778,39.1678781203,27.4098940995,36.4680829077,47.8860869147,45.3844508863,47.7331897772,43.6860883587,43.1737543865,34.7329224448,16.1031618253,27.4932536344,42.5431577823,7.69305328456,20.2334110685,11.0346355279,29.7658407159,46.376767501,35.4831986058,33.217507705,37.780360741,34.3968170558,37.5964948206,25.3096803946,35.3857687669,18.1035575784,19.2713275058,15.8789112185,13.5907617618,18.011059069,9.83367393607,4.63821892393,2.90363420867,24.4859592648,22.577257063,24.6252240508,10.5371859579,42.1160678657,24.6489597852,46.5554573252,38.4281294082,37.730400469,48.0636062112,26.4054326723,30.2118857772,29.9592272991,11.6054926331,20.1969145938,8.02126407908,6.60015979029,5.35033698555,4.58928226537,3.87650758021,1.67721725511,0.19277182994,1.46417149552,7.5692166431,0.0,enlightment,JFenimoreCoope
114.563832726,17.0575688222,52.903167984,11.9707436651,36.8468237467,9.07545879056,17.5208579764,36.0706466705,28.3423023153,35.244587563,39.9978036336,54.3372520233,48.2316208004,47.5894480013,38.5017885874,23.1957717274,18.3148200237,18.6891769835,50.406080456,6.6127880507,19.1027715597,10.2861286534,30.7112429933,54.1846544536,31.2736159281,43.6180999736,43.310248326,53.5831954749,39.7831794015,35.1379881557,37.794803674,15.1651895943,30.1825553699,13.2551405359,13.4409286303,16.8038260735,12.3491784332,3.68726913674,2.56068477063,26.9825924942,18.7284616064,39.5796858261,11.4974434473,47.3209312688,20.1219991059,39.6724841381,47.1289707054,41.269155796,39.5493978347,26.7385079993,26.656752723,20.3271856846,29.4585063376,28.8282593271,5.51125234539,18.4893351509,7.90278633087,5.43997941535,6.45302512915,4.51917642926,0.42502498443,6.04400572118,6.79423034597,0.0,renaissance,MigueldeCervantesSaavedra
152.933221512,-2.02688611527,39.90322897,12.9991129756,38.0248718031,9.07841511145,21.6821166888,38.8997620347,30.0364939541,37.4348301738,50.5706514168,37.9879471942,48.9391348946,43.3400010159,46.6752687301,35.4862040341,22.1061092075,25.5791489576,57.4853629373,13.1300402406,21.0144668939,36.6575923044,36.1860170409,41.2536105931,33.9316738852,26.7995353194,45.8703461559,30.1716795792,27.1310404439,23.4267986906,46.1456308619,19.7339101131,29.6201882141,21.6665550929,17.5649466698,22.0419753144,13.7634891534,7.31709410512,3.78501122854,21.1740000679,23.4563279277,19.5218676478,8.71668534028,33.3797235699,19.6727088875,46.7051468361,40.4124581817,36.3991241357,40.2859260468,26.3197161046,25.1748653385,24.4158848665,10.6803226368,22.9092657057,7.58133229252,8.60314301672,5.93472574036,5.03727723733,3.47327509446,3.49539048626,0.627590077986,1.71350528882,4.39625372791,0.358655258836,romantic,GeorgeMeredi
